Variant,n_seed,RMSE_all_mean,RMSE_all_std,RMSE_win_mean,RMSE_win_std,MaxTrans_mean,MaxTrans_std,dRMSE_win_pct
Full (ours),5,2.9695,0.6389,2.9595,1.0667,4.5146,0.6981,0.00
w/o Temporal feat.,5,2.8904,0.6217,2.8808,1.0466,4.4481,0.6542,-2.66
w/o 3-stage curriculum,5,2.9030,0.6311,2.9194,1.0692,4.4581,0.7024,-1.35
w/o energy mgmt.,5,9.8122,1.1942,12.2966,1.7668,11.4257,1.4829,315.50
w/o Look-ahead,5,2.9665,0.6445,2.9665,1.0726,4.5054,0.7105,0.24
